VARIABLES="Frequency (rad/s)" "|Fx| (N/m)" "|Fy| (N/m)" "|Fz| (N/m)" "|Cx| (N)" "|Cy| (N)" "|Cz| (N)" "ang(Fx) (°)" "ang(Fy) (°)" "ang(Fz) (°)" "ang(Cx) (°)" "ang(Cy) (°)" "ang(Cz) (°)"
Zone t="Corps  1"
Zone t="Excitation force - beta =   0.000 deg",I=   100,F=POINT
 1.2594  0.260682E+07  0.336298E+05  0.554664E+06  0.174744E+06  0.225167E+08  0.248590E+06 -125.84   54.20   59.05   28.36   54.25 -122.91
 1.2997  0.226149E+07  0.348622E+05  0.582996E+06  0.193295E+06  0.197190E+08  0.228997E+06 -133.85   45.94   49.58   24.51   46.26 -135.54
 1.3400  0.189191E+07  0.396577E+05  0.593158E+06  0.241311E+06  0.167514E+08  0.217753E+06 -140.96   37.32   39.66   20.16   39.17 -151.38
 1.3803  0.131982E+07  0.575051E+05  0.592672E+06  0.398977E+06  0.122294E+08  0.220875E+06 -143.27   34.20   29.32   22.68   36.93 -167.43
 1.4206  0.227533E+07  0.294151E+05  0.587317E+06  0.261596E+06  0.173076E+08  0.260972E+06  107.74   49.60   18.85   56.39  -72.25 -173.40
 1.4609  0.204900E+07  0.380575E+05  0.572817E+06  0.316261E+06  0.174016E+08  0.206921E+06  164.47  103.85    7.88  115.25  -15.41  176.41
 1.5012  0.166249E+07  0.213138E+05  0.558390E+06  0.176361E+06  0.144324E+08  0.189425E+06  160.30   93.01   -3.26  112.05  -19.56  162.00
 1.5415  0.142510E+07  0.159003E+05  0.543036E+06  0.135625E+06  0.125484E+08  0.177542E+06  151.11   78.88  -14.47  102.46  -28.73  146.77
 1.5818  0.124204E+07  0.144130E+05  0.528643E+06  0.128518E+06  0.110748E+08  0.169680E+06  140.33   68.35  -25.47   94.69  -39.48  132.68
 1.6221  0.109121E+07  0.162937E+05  0.518618E+06  0.162234E+06  0.985094E+07  0.157642E+06  128.76   76.94  -35.50   98.34  -51.01  121.45
 1.6624  0.947617E+06  0.714175E+04  0.519591E+06  0.121568E+06  0.866662E+07  0.121323E+06  117.13 -170.26  -40.71  179.56  -62.53  113.51
 1.7027  0.826367E+06  0.342286E+04  0.449601E+06  0.874863E+04  0.766045E+07  0.568911E+05  104.19  -29.70  -11.83  167.97  -75.44  -16.93
 1.7430  0.716747E+06  0.416652E+04  0.261085E+06  0.196398E+05  0.675764E+07  0.218300E+06   91.58  -16.40 -111.79   43.67  -88.14   46.91
 1.7833  0.606126E+06  0.464534E+04  0.335260E+06  0.273003E+05  0.585250E+07  0.186722E+06   79.00  -22.93 -111.85   30.96 -100.67   45.14
 1.8236  0.489192E+06  0.443393E+04  0.341121E+06  0.396850E+05  0.489396E+07  0.160950E+06   67.11  -11.39 -121.99   40.42 -112.52   35.22
 1.8639  0.327157E+06  0.336353E+04  0.332897E+06  0.341882E+05  0.356798E+07  0.163566E+06   57.23 -111.41 -134.26  172.85 -122.12   14.00
 1.9042  0.238471E+05  0.116204E+05  0.319838E+06  0.910867E+05  0.703533E+06  0.161391E+06  -97.82  -88.57 -147.93 -108.23 -125.50    5.66
 1.9445  0.102967E+07  0.141826E+05  0.305231E+06  0.151915E+06  0.849155E+07  0.134650E+06  -47.28  -39.30 -162.24  -48.09  132.65    2.23
 1.9848  0.681441E+06  0.105938E+05  0.291643E+06  0.110586E+06  0.619377E+07  0.108669E+06  -21.01   -2.28 -176.63   -6.46  159.01  -15.32
